Date,Time,open,close,high,low,open_day,close_day,high_day,low_day,rsi_daily,volume_daily,ATR_daily,AvgATR_50,slowK,slowD
1200610,2300,126.0,124.52,128.40000000000001,119.59999999999999,126.0,124.52,128.40000000000001,119.59999999999999,41.43,7586190.00,8.80,10.88,27.99,18.31
1200611,2300,138.12,166.44,169.19999999999999,132.52000000000001,138.12,166.44,169.19999999999999,132.52000000000001,63.32,25924176.00,44.68,11.46,65.69,37.17
1200612,2300,153.59999999999999,154.84,180.12,149.68000000000001,153.59999999999999,154.84,180.12,149.68000000000001,56.97,17010489.00,30.44,11.70,68.82,54.17
1200615,2300,168.88,150.88,174.47999999999999,149.47999999999999,168.88,150.88,174.47999999999999,149.47999999999999,54.95,10042818.00,25.00,11.94,68.78,67.76
1200616,2300,141.12,147.47999999999999,156.05000000000001,139.96000000000001,141.12,147.47999999999999,156.05000000000001,139.96000000000001,53.20,13360411.00,16.09,12.04,55.16,64.25
1200617,2300,146.31999999999999,147.91999999999999,152.08000000000001,145.59999999999999,146.31999999999999,147.91999999999999,152.08000000000001,145.59999999999999,53.41,8519606.00,6.48,11.85,51.60,58.52
1200618,2300,150.16,145.24000000000001,151.72,145.12,150.16,145.24000000000001,151.72,145.12,51.90,6501859.00,6.60,11.75,48.70,51.82
1200619,2300,141.75999999999999,147.56,152.52000000000001,140.59999999999999,141.75999999999999,147.56,152.52000000000001,140.59999999999999,53.13,10771302.00,11.92,11.85,48.74,49.68
1200622,2300,148.59999999999999,140.36000000000001,150.56,139.91999999999999,148.59999999999999,140.36000000000001,150.56,139.91999999999999,48.95,8555951.00,10.64,11.94,44.86,47.43
1200623,2300,134.08000000000001,137.80000000000001,138.84,133.66999999999999,134.08000000000001,137.80000000000001,138.84,133.66999999999999,47.52,7521425.00,6.69,11.93,41.03,44.88
1200624,2300,142.80000000000001,146.88,153.36000000000001,138.75999999999999,142.80000000000001,146.88,153.36000000000001,138.75999999999999,52.79,16092801.00,15.56,11.94,40.68,42.19
1200625,2300,149.31999999999999,141.56,152.52000000000001,141.0,149.31999999999999,141.56,152.52000000000001,141.0,49.65,8958743.00,11.52,11.85,41.14,40.95
1200626,2300,141.80000000000001,150.0,151.72,141.28,141.80000000000001,150.0,151.72,141.28,54.30,11173915.00,10.44,11.93,46.24,42.69
1200629,2300,147.52000000000001,142.72,152.38999999999999,142.47999999999999,147.52000000000001,142.72,152.38999999999999,142.47999999999999,50.01,6241716.00,9.91,11.98,42.76,43.38
